supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.675,0.75,0.88; vcc_ff_c#0.675,0.75,0.88; vcc_tt_h#0.675,0.75,0.935; vcc_tt_c#0.69,0.78,0.935; vcc_ss_h#0.69,0.75,0.935; vcc_ss_c#0.69,0.78,0.935
vccana: 0.715,0.75,0.785
vccn: 0.99,1.1,1.188
vcctx: "0.5*vcn","0.5*vcn","0.5*vcn"

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
FFG_SSG	typical	125	min	max	-7.51209261e-04	-3.14331366e-04	-2.90960024e-04	-3.37430500e-04	1.58145015e+03	1.32280786e+03	2.15190393e+03	1.17553245e+00	1.24675473e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG_SSG	typical	125	max	min	-6.25202498e-04	-2.62639831e-04	-2.38579628e-04	-2.86412083e-04	1.58348696e+03	1.31929722e+03	2.09063072e+03	9.74344299e-01	1.56557013e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG_SSG	typical	125	max	max	-7.51952775e-04	-3.13082271e-04	-2.88269490e-04	-3.37026978e-04	1.57988645e+03	1.32808542e+03	2.05096700e+03	1.17266207e+00	1.53379267e-02	1.25000000e+02	1.00000000e+00																																																																																									
FFG_SSG	typical	125	nom	nom	-6.96304039e-04	-2.89452096e-04	-2.64913924e-04	-3.13892606e-04	1.57976967e+03	1.33009920e+03	2.04170459e+03	1.08634341e+00	1.36565856e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	-40	min	min	-1.52485656e-04	-5.31184666e-05	-4.54373507e-05	-6.08033170e-05	6.49241397e+03	6.52315517e+03	6.50788879e+03	9.89628358e-01	3.71641623e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG_FFG	typical	-40	min	max	-1.84805034e-04	-6.47520191e-05	-5.69780354e-05	-7.25342229e-05	6.42839630e+03	6.42142139e+03	6.42831029e+03	1.18763092e+00	3.69081185e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG_FFG	typical	-40	max	min	-1.52615113e-04	-5.31153557e-05	-4.54337819e-05	-6.08006659e-05	6.48690672e+03	6.52353723e+03	6.50750015e+03	9.88474553e-01	1.52544732e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSG_FFG	typical	-40	max	max	-1.84934417e-04	-6.47359885e-05	-5.69449820e-05	-7.25277437e-05	6.42389892e+03	6.42301153e+03	6.41734772e+03	1.18628775e+00	1.71225381e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSG_FFG	typical	-40	nom	nom	-1.70096521e-04	-5.93039026e-05	-5.15888552e-05	-6.70232655e-05	6.46691653e+03	6.49198422e+03	6.47902956e+03	1.09940146e+00	5.98537290e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG_FFG	typical	125	min	min	-3.43704190e-04	-1.38285985e-04	-1.24028977e-04	-1.52492345e-04	2.88038386e+03	2.50567692e+03	3.51328769e+03	9.80233625e-01	9.76637459e-03	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	125	min	max	-4.22470619e-04	-1.69258438e-04	-1.54812821e-04	-1.83565278e-04	2.81202987e+03	2.45659835e+03	3.47796368e+03	1.17894396e+00	9.05604382e-03	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	125	max	min	-3.44260448e-04	-1.38319385e-04	-1.24031037e-04	-1.52554323e-04	2.87572971e+03	2.50507187e+03	3.50590748e+03	9.77538864e-01	1.24611356e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	125	max	max	-4.22973496e-04	-1.68957198e-04	-1.54055477e-04	-1.83493694e-04	2.80868662e+03	2.46097831e+03	3.39694493e+03	1.17517061e+00	1.28293933e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	125	nom	nom	-3.85598532e-04	-1.53715799e-04	-1.39127359e-04	-1.68275481e-04	2.85270795e+03	2.50462219e+03	3.43075284e+03	1.08994900e+00	1.00510046e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	85	nom	nom	-2.82144651e-04	-1.08519256e-04	-9.70409939e-05	-1.20078168e-04	3.89870939e+03	3.54775747e+03	4.34081019e+03	1.09070665e+00	9.29334544e-03	8.50000000e+01	1.00000000e+00																																																																																									
TT	typical	100	nom	nom	-3.40280804e-04	-1.34356651e-04	-1.20989047e-04	-1.47761773e-04	3.23262432e+03	2.86550757e+03	3.73514451e+03	1.08983790e+00	1.01620971e-02	1.00000000e+02	1.00000000e+00																																																																																									
