supply condition
v1: vcc
v2: vccn
v3: NA
vcc_vid: vcc_ff_h#0.63,0.7,0.756; vcc_ff_c#0.675,0.75,0.81; vcc_tt_h#0.63,0.7,0.756; vcc_tt_c#0.675,0.75,0.81; vcc_ss_h#0.675,0.75,0.81; vcc_ss_c#0.72,0.8,0.864
vccana: 0.725,0.75,0.775
vccn: 0.99,1.1,1.188
vcctx: 0.575,0.6,0.625

process	extract	temp	v1	v2	ioh_0	ioh	ioh0	ioh1	rwkpull0	rwkpull_vih	rwkpull_vih2	vwkp	vwkp_drop	temper	alter#																																																																																									
SSG_FFG	typical	-40	min	max	-1.83706178e-04	-6.44898717e-05	-5.67367436e-05	-7.22545473e-05	6.46684838e+03	6.44752407e+03	6.44421090e+03	1.18751601e+00	4.83986889e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG_FFG	typical	-40	max	min	-1.51756206e-04	-5.28285836e-05	-4.51765083e-05	-6.04853036e-05	6.52362118e+03	6.55894927e+03	6.53219264e+03	9.88976847e-01	1.02315303e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSG_FFG	typical	-40	max	max	-1.83765189e-04	-6.44775188e-05	-5.67067153e-05	-7.22497237e-05	6.46477172e+03	6.44875931e+03	6.43376093e+03	1.18691800e+00	1.08200327e-03	-4.00000000e+01	1.00000000e+00																																																																																									
SSG_FFG	typical	-40	nom	nom	-1.69134818e-04	-5.90236963e-05	-5.13340339e-05	-6.67158008e-05	6.50368749e+03	6.52280397e+03	6.50120370e+03	1.09929387e+00	7.06126499e-04	-4.00000000e+01	1.00000000e+00																																																																																									
SSG_FFG	typical	125	min	min	-2.56122973e-04	-9.39730358e-05	-8.27565662e-05	-1.04699719e-04	3.86533074e+03	3.68722790e+03	4.55723028e+03	9.67267768e-01	2.27322319e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	125	min	max	-3.16401409e-04	-1.22407583e-04	-1.10597006e-04	-1.34160422e-04	3.75472411e+03	3.39684839e+03	4.24386685e+03	1.16755627e+00	2.04437328e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	125	max	min	-2.56246018e-04	-9.39106975e-05	-8.26027851e-05	-1.04675703e-04	3.86347467e+03	3.68967550e+03	4.53043870e+03	9.64446376e-01	2.55536243e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	125	max	max	-3.16524243e-04	-1.21859748e-04	-1.09575901e-04	-1.33909259e-04	3.75326701e+03	3.41211931e+03	4.10958487e+03	1.16501168e+00	2.29883165e-02	1.25000000e+02	1.00000000e+00																																																																																									
SSG_FFG	typical	125	nom	nom	-2.86495036e-04	-1.07606450e-04	-9.58864528e-05	-1.19019955e-04	3.83950807e+03	3.57785245e+03	4.32273507e+03	1.07687361e+00	2.31263866e-02	1.25000000e+02	1.00000000e+00																																																																																									
TT	typical	85	nom	nom	-2.14905031e-04	-7.98835701e-05	-7.03838617e-05	-8.92398022e-05	5.11854001e+03	4.81951419e+03	5.30336843e+03	1.08060198e+00	1.93980180e-02	8.50000000e+01	1.00000000e+00																																																																																									
TT	typical	100	nom	nom	-2.45525159e-04	-9.25089017e-05	-8.19653174e-05	-1.02819075e-04	4.48019259e+03	4.16176166e+03	4.79529888e+03	1.07756571e+00	2.24342868e-02	1.00000000e+02	1.00000000e+00																																																																																									
